trade_id,symbol,direction,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,result_r,profit_usd,win,confluence_score,quality_factors
57,CHF_JPY,bullish,2024-01-25 22:00:00+00:00,2024-03-05 22:00:00+00:00,170.767906,169.31982199257695,169.21112141108497,171.70197675334904,-0.93,-334.86,0,15,0
58,XAG_USD,bullish,2024-01-26 00:00:00+00:00,2024-01-31 00:00:00+00:00,22.7549991607666,23.329644741266577,22.35763016383829,22.99342055892359,1.45,520.61,1,14,0
59,EUR_AUD,bullish,2024-01-28 22:00:00+00:00,2024-02-27 22:00:00+00:00,1.64162312,1.666525551312351,1.6241129279779174,1.6521292352132495,1.42,511.98,1,15,0
60,NZD_CHF,bearish,2024-01-28 22:00:00+00:00,2024-02-06 22:00:00+00:00,0.52826,0.5331708962024307,0.532977569390511,0.5254294583656933,-1.04,-374.75,0,15,0
61,NZD_CHF,bearish,2024-01-29 22:00:00+00:00,2024-02-06 22:00:00+00:00,0.52871,0.5331743793308285,0.5329213144340459,0.5261832113395725,-1.06,-381.63,0,15,0
62,USD_CAD,bullish,2024-01-29 22:00:00+00:00,2024-02-05 22:00:00+00:00,1.34072178,1.353725217707465,1.331333767912993,1.346354587252204,1.39,498.64,1,14,0
63,EUR_JPY,bullish,2024-01-29 22:00:00+00:00,2024-02-15 22:00:00+00:00,159.253144,162.09940627112562,157.25910832005076,160.44956540796954,1.43,513.86,1,15,0
64,CHF_JPY,bullish,2024-01-29 22:00:00+00:00,2024-02-06 22:00:00+00:00,170.767906,169.3575270245789,169.4325270245789,171.56913338525268,-1.06,-380.22,0,15,0
65,XAU_USD,bullish,2024-01-30 00:00:00+00:00,2024-02-13 00:00:00+00:00,2044.3255476074216,2009.749897000503,2009.8248970005031,2065.0259379715726,-1.0,-360.78,0,20,0
66,AUD_CAD,bearish,2024-01-30 22:00:00+00:00,2024-02-01 22:00:00+00:00,0.88524258,0.8759895271419,0.889949898992047,0.8824181886047718,1.97,707.64,1,15,0
67,GBP_JPY,bullish,2024-01-31 22:00:00+00:00,2024-02-11 22:00:00+00:00,185.367614,189.01695405589072,182.82540235775377,186.89294098534774,1.44,516.78,1,20,0
68,CAD_JPY,bullish,2024-01-31 22:00:00+00:00,2024-02-19 22:00:00+00:00,108.83117,111.7134906296674,107.43948970368592,109.66617817778845,2.07,745.6,1,15,0
69,EUR_USD,bullish,2024-01-31 22:00:00+00:00,2024-04-11 21:00:00+00:00,1.0872,1.0681775134701934,1.0689275134701934,1.0981634919178838,-1.04,-374.78,0,15,0
70,XAG_USD,bullish,2024-02-01 00:00:00+00:00,2024-02-13 00:00:00+00:00,22.64112796020508,22.201661319088345,22.151369863700847,22.934982818107617,-0.9,-323.03,0,15,0
71,NZD_USD,bearish,2024-02-01 22:00:00+00:00,2024-02-20 22:00:00+00:00,0.61136546,0.6194640035295544,0.6196971420062976,0.6063664507962215,-0.97,-349.93,0,15,0
72,EUR_USD,bullish,2024-02-01 22:00:00+00:00,2024-04-11 21:00:00+00:00,1.08825738,1.0680051910794655,1.0687551910794655,1.0999586933523207,-1.04,-373.84,0,15,0
73,NZD_CAD,bearish,2024-02-01 22:00:00+00:00,2024-02-18 22:00:00+00:00,0.8207743200000001,0.828255563811356,0.8284061157044852,0.816195242577309,-0.98,-352.9,0,15,0
74,USD_JPY,bullish,2024-02-01 22:00:00+00:00,2024-02-08 22:00:00+00:00,147.157742,149.5686450708912,145.4608798355692,148.1758592986585,1.42,511.49,1,15,0
75,NZD_USD,bearish,2024-02-05 22:00:00+00:00,2024-02-19 22:00:00+00:00,0.60972,0.6190753316278791,0.6183253316278791,0.6045568010232726,-1.09,-391.38,0,15,0
76,GBP_AUD,bullish,2024-02-05 22:00:00+00:00,2024-02-08 22:00:00+00:00,1.9261709999999999,1.945709824954677,1.9123219727271827,1.9344804163636902,1.41,507.9,1,15,0
77,AUD_CHF,bearish,2024-02-06 22:00:00+00:00,2024-02-13 22:00:00+00:00,0.56997038,0.5748316357408013,0.5746316676879833,0.56717360738721,-1.04,-375.44,0,15,0
78,USD_CAD,bearish,2024-02-06 22:00:00+00:00,2024-02-12 22:00:00+00:00,1.3466995800000001,1.354278168675278,1.3544417440309275,1.3420542815814436,-0.98,-352.39,0,14,0
79,USD_CAD,bullish,2024-02-06 22:00:00+00:00,2024-03-19 21:00:00+00:00,1.34622,1.3637232936216102,1.3337604139101638,1.3536957516539017,1.4,505.73,1,14,0
80,NZD_USD,bearish,2024-02-06 22:00:00+00:00,2024-02-20 22:00:00+00:00,0.61098728,0.6193832703431578,0.619656203291562,0.6057859260250629,-0.97,-348.67,0,15,0
81,EUR_CHF,bearish,2024-02-06 22:00:00+00:00,2024-02-12 22:00:00+00:00,0.94192796,0.9505683258704266,0.9498183258704266,0.9371937404777441,-1.1,-394.22,0,15,0
82,BTC_USD,bullish,2024-02-07 00:00:00+00:00,2024-02-10 00:00:00+00:00,43245.611234375,47223.045807008624,41739.01971353053,44149.56614688168,2.64,950.41,1,20,0
83,GBP_USD,bullish,2024-02-07 22:00:00+00:00,2024-03-11 21:00:00+00:00,1.26184,1.2821024998874369,1.2474969966638658,1.2704458020016807,1.41,508.58,1,15,0
84,CHF_JPY,bullish,2024-02-07 22:00:00+00:00,2024-02-12 22:00:00+00:00,170.681,169.60480515351668,169.67980515351667,171.28171690789003,-1.07,-386.97,0,15,0
85,CHF_JPY,bullish,2024-02-07 22:00:00+00:00,2024-03-05 22:00:00+00:00,170.776,169.1001206977319,169.1751206977319,171.7365275813609,-1.05,-376.87,0,15,0
86,GBP_NZD,bullish,2024-02-08 22:00:00+00:00,2024-03-17 21:00:00+00:00,2.0617242,2.0978665153196676,2.036541732205005,2.076833680676997,1.44,516.68,1,15,0
87,GBP_NZD,bearish,2024-02-08 22:00:00+00:00,2024-03-18 21:00:00+00:00,2.06074818,2.10238267723821,2.10163267723821,2.036217481657074,-1.02,-366.6,0,15,0
88,USD_CAD,bullish,2024-02-12 22:00:00+00:00,2024-02-28 22:00:00+00:00,1.34455448,1.359765592484811,1.3336595226724839,1.3510914543965096,1.4,502.62,1,14,0
89,USD_CAD,bullish,2024-02-12 22:00:00+00:00,2024-02-28 22:00:00+00:00,1.3459,1.3609388568822263,1.3351226232885829,1.3523664260268504,1.4,502.35,1,14,0
90,GBP_AUD,bullish,2024-02-12 22:00:00+00:00,2024-03-05 22:00:00+00:00,1.93338744,1.9575510095336226,1.9163815904889947,1.943590949706603,1.42,511.52,1,15,0
91,CHF_JPY,bullish,2024-02-12 22:00:00+00:00,2024-03-05 22:00:00+00:00,170.767906,169.10712636217963,169.18212636217962,171.71937378269226,-1.05,-377.03,0,15,0
92,EUR_USD,bearish,2024-02-12 22:00:00+00:00,2024-02-19 22:00:00+00:00,1.07568006,1.0830303961990073,1.0831634343752916,1.0711900353748252,-0.98,-353.6,0,15,0
93,AUD_USD,bearish,2024-02-12 22:00:00+00:00,2024-03-06 22:00:00+00:00,0.65270802,0.6599872317460787,0.6601107544059849,0.6482663793564092,-0.98,-353.99,0,15,0
94,GBP_CAD,bullish,2024-02-12 22:00:00+00:00,2024-03-11 21:00:00+00:00,1.7107684,1.7392527965652513,1.6908131805015352,1.722741531699079,1.43,513.87,1,15,0
95,XAU_USD,bullish,2024-02-13 00:00:00+00:00,2024-03-07 00:00:00+00:00,2017.8986186523437,2157.245472282937,1965.1871427995675,2049.5255041640094,2.64,951.69,1,20,0
96,NAS100_USD,bullish,2024-02-13 00:00:00+00:00,2024-02-23 00:00:00+00:00,17546.704,18166.68784973553,17122.994887552544,17800.929467468475,1.46,526.76,1,20,0
97,SPX500_USD,bullish,2024-02-13 00:00:00+00:00,2024-02-16 00:00:00+00:00,4936.777,5067.0464478717195,4847.343929780396,4990.436842131762,1.46,524.38,1,15,0
98,GBP_AUD,bullish,2024-02-13 22:00:00+00:00,2024-04-03 21:00:00+00:00,1.93574,1.9177148126104866,1.9161536197397808,1.9474918281561315,-0.92,-331.31,0,15,0
99,EUR_GBP,bearish,2024-02-13 22:00:00+00:00,2024-03-21 21:00:00+00:00,0.85442172,0.8587153665515281,0.8584394598543403,0.8520110760873959,-1.07,-384.72,0,15,0
100,EUR_GBP,bearish,2024-02-13 22:00:00+00:00,2024-03-21 21:00:00+00:00,0.85378,0.8587026776207047,0.8585109270076018,0.8509414437954389,-1.04,-374.59,0,15,0
101,AUD_CAD,bearish,2024-02-14 22:00:00+00:00,2024-03-06 22:00:00+00:00,0.88204974,0.8896889214898499,0.8898606033671768,0.877363221979694,-0.98,-352.09,0,15,0
102,GBP_AUD,bullish,2024-02-14 22:00:00+00:00,2024-02-27 22:00:00+00:00,1.9261709999999999,1.9454414270723077,1.9125051794728274,1.9343704923163034,1.41,507.64,1,15,0
103,EUR_GBP,bearish,2024-02-14 22:00:00+00:00,2024-03-10 21:00:00+00:00,0.85498,0.8505415925100159,0.8585215750784874,0.8528550549529075,1.25,451.16,1,15,0
104,AUD_USD,bearish,2024-02-14 22:00:00+00:00,2024-03-06 22:00:00+00:00,0.65270802,0.6599613542185017,0.6600814148055574,0.6482839831166657,-0.98,-354.14,0,15,0
105,AUD_USD,bullish,2024-02-14 22:00:00+00:00,2024-03-10 21:00:00+00:00,0.65251,0.6671151582841053,0.6420286632873002,0.6587988020276199,1.39,501.64,1,15,0
106,XAG_USD,bearish,2024-02-15 00:00:00+00:00,2024-02-16 00:00:00+00:00,22.8045354347229,23.304477242007227,23.296977242007227,22.509070350352307,-1.02,-365.48,0,15,0
107,EUR_USD,bullish,2024-02-19 22:00:00+00:00,2024-03-10 21:00:00+00:00,1.08028054,1.0989937096704416,1.0669950999519169,1.0882518040288498,1.41,507.08,1,15,0
108,SPX500_USD,bullish,2024-02-22 00:00:00+00:00,2024-02-26 00:00:00+00:00,5019.573,5130.0302504538895,4943.663614024649,5065.118631585211,1.46,523.84,1,15,0
109,XAU_USD,bullish,2024-02-23 00:00:00+00:00,2024-03-07 00:00:00+00:00,2034.955403564453,2156.1513383473516,1989.1062788828278,2062.4648783734283,2.64,951.61,1,20,0
110,BTC_USD,bullish,2024-02-26 00:00:00+00:00,2024-02-28 00:00:00+00:00,52179.9023125,59098.1627051253,49942.17682215257,53522.53760670846,3.09,1112.99,1,20,0
111,EUR_AUD,bullish,2024-02-27 22:00:00+00:00,2024-04-03 21:00:00+00:00,1.65736476,1.6433030858835544,1.6422721589609461,1.6664203206234325,-0.93,-335.41,0,15,0
112,NZD_JPY,bullish,2024-02-27 22:00:00+00:00,2024-02-28 22:00:00+00:00,92.096812,91.01196233421079,91.0869623342108,92.70272179947352,-1.07,-386.74,0,15,0
113,NZD_JPY,bullish,2024-02-27 22:00:00+00:00,2024-03-07 22:00:00+00:00,91.77923,90.73084405222701,90.80584405222702,92.36326156866379,-1.08,-387.74,0,15,0
