date,balance,equity,daily_hwm,open_trades,trading_halted
2023-12-07,173215.69588411643,173034.90141507075,173215.69588411643,4,False
2023-12-08,171452.57588411644,172943.48295212098,173215.69588411643,4,False
2023-12-10,171452.57588411644,173252.47017349827,172943.48295212098,4,False
2023-12-11,171452.57588411644,174015.55840116393,173252.47017349827,4,False
2023-12-12,171452.57588411644,174551.2434328218,174015.55840116393,4,False
2023-12-13,178912.72322411643,180103.5467649643,174551.2434328218,2,False
2023-12-14,178912.72322411643,180180.76226115908,180103.5467649643,2,False
2023-12-15,178912.72322411643,179344.25060711332,180180.76226115908,2,False
2023-12-17,178912.72322411643,179054.1236428233,179344.25060711332,2,False
2023-12-18,179269.15622411642,179573.41693057114,179054.1236428233,1,False
2023-12-19,179269.15622411642,180013.47295232533,179573.41693057114,1,False
2023-12-20,179269.15622411642,179618.94578576,180013.47295232533,2,False
2023-12-21,179269.15622411642,180334.08355513122,179618.94578576,2,False
2023-12-22,179269.15622411642,179943.87646804927,180334.08355513122,2,False
2023-12-24,179269.15622411642,179269.15622411642,179943.87646804927,2,False
2023-12-25,179269.15622411642,180053.1988220024,179269.15622411642,2,False
2023-12-26,179269.15622411642,180535.93932909713,180053.1988220024,3,False
2023-12-27,179269.15622411642,181019.4480410444,180535.93932909713,3,False
2023-12-28,179269.15622411642,179783.87064665137,181019.4480410444,3,False
2023-12-29,179715.68342411643,179709.7565846091,179783.87064665137,2,False
2023-12-31,179715.68342411643,179715.68342411643,179715.68342411643,2,False
2024-01-01,179715.68342411643,179766.6927975536,179715.68342411643,2,False
2024-01-02,180164.35892411644,178694.7044931141,179766.6927975536,3,False
2024-01-03,182338.77454411643,180515.0776008382,180164.35892411644,1,False
2024-01-04,180202.03454411644,180198.88607239662,182338.77454411643,1,False
2024-01-05,180202.03454411644,180267.78598779257,180202.03454411644,1,False
2024-01-07,180202.03454411644,180205.3860644151,180267.78598779257,1,False
2024-01-08,176635.82454411645,175933.5369308882,180205.3860644151,1,False
2024-01-09,176635.82454411645,175935.35692865337,176635.82454411645,1,False
2024-01-10,176635.82454411645,175726.5771850196,176635.82454411645,1,False
2024-01-11,176635.82454411645,176168.31664259595,176635.82454411645,1,False
2024-01-12,178251.45606411644,178502.58728015982,176635.82454411645,1,False
2024-01-14,178251.45606411644,178425.36737498018,178502.58728015982,1,False
2024-01-15,178251.45606411644,178758.68696568816,178425.36737498018,1,False
2024-01-16,178251.45606411644,177412.66861849997,178758.68696568816,1,False
2024-01-17,176447.16606411643,174991.12597378672,178251.45606411644,2,False
2024-01-18,176447.16606411643,176918.8981247589,176447.16606411643,2,False
2024-01-19,176447.16606411643,177099.44522820754,176918.8981247589,2,False
2024-01-21,176447.16606411643,176757.44724298082,177099.44522820754,2,False
2024-01-22,174502.64606411644,175218.75310339424,176757.44724298082,2,False
2024-01-23,174502.64606411644,174899.14412047178,175218.75310339424,2,False
2024-01-24,174502.64606411644,174624.92992898496,174899.14412047178,3,False
2024-01-25,174502.64606411644,175320.63816711048,174624.92992898496,4,False
2024-01-26,174502.64606411644,175429.77454483355,175320.63816711048,5,False
2024-01-28,174502.64606411644,176131.10549615184,175429.77454483355,5,False
2024-01-29,177130.78714411645,179672.66452550527,176131.10549615184,4,False
2024-01-30,178366.24729411645,179045.55285563332,179672.66452550527,4,False
2024-01-31,178366.24729411645,177900.27200504148,179045.55285563332,4,False
2024-02-01,178722.97249411643,179316.17477060325,178366.24729411645,3,False
2024-02-02,179104.75769411644,178385.02455337197,179316.17477060325,2,False
2024-02-04,179104.75769411644,178333.81000940237,179104.75769411644,2,False
2024-02-05,179104.75769411644,177689.66725127102,179104.75769411644,2,False
2024-02-06,179104.75769411644,178518.4916689492,179104.75769411644,2,False
2024-02-07,179104.75769411644,179569.68834143344,179104.75769411644,3,False
2024-02-08,179104.75769411644,180587.54688822702,179569.68834143344,3,False
2024-02-09,181981.04635411644,182453.60355869823,180587.54688822702,2,False
2024-02-11,181981.04635411644,182585.07210868786,182453.60355869823,2,False
2024-02-12,181981.04635411644,182978.0343194936,182585.07210868786,2,False
2024-02-13,182888.89315411643,181581.5235813658,182978.0343194936,3,False
2024-02-14,185252.97715411644,183442.23151628245,182888.89315411643,2,False
2024-02-15,185709.53765411643,185407.04398036306,185252.97715411644,2,False
2024-02-16,185709.53765411643,186269.00508911247,185709.53765411643,2,False
